CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8,eficiencia_eleitoral,cluster_v9,acao_recomendada,municipio,prioridade_agenda,agenda_score,indice_consolidado,cd_mun,mapa_ok,cidade_norm_join,qtd_mencoes,sentimento_medio,engajamento_medio,alcance_medio,rejeicao_media,isd_v11,classificacao_isd,fontes,temas,indice_master_v12
Presidente Sarney,100.0,1,70.0,60.0,60.5,60.5,63.2,presidente sarney,0,medio,250.0,0,55,60,50,49.21,D,500.0,40,43.0525,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Presidente Sarney,Sem classificação,43.0525,39.594625,2109270,True,presidente sarney,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Peri Mirim,200.0,1,70.0,60.0,60.5,60.5,63.2,peri mirim,0,medio,250.0,0,55,60,50,49.21,D,1000.0,40,43.0525,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Peri Mirim,Sem classificação,43.0525,39.594625,2108405,True,peri mirim,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Olho D´agua das Cunhas,150.0,1,65.0,60.0,58.75,58.75,61.0,olho d agua das cunhas,0,medio,250.0,0,55,60,50,48.55,D,750.0,40,42.8875,D,135.0,150.0,172.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Olho D´agua das Cunhas,Sem classificação,42.8875,39.454375000000006,2107407,True,olho d agua das cunhas,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.618062500000004
Pedreiras,300.0,1,65.0,60.0,58.75,58.75,61.0,pedreiras,0,medio,250.0,0,55,60,50,48.55,D,1500.0,40,42.8875,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Pedreiras,Sem classificação,42.8875,39.454375000000006,2108207,True,pedreiras,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.618062500000004
Arari,100.0,1,65.0,60.0,58.75,58.75,61.0,arari,0,medio,250.0,0,55,60,50,48.55,D,500.0,40,42.8875,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Arari,Sem classificação,42.8875,39.454375000000006,2101004,True,arari,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.618062500000004
Viana,200.0,1,65.0,60.0,58.75,58.75,61.0,viana,0,medio,250.0,0,55,60,50,48.55,D,1000.0,40,42.8875,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Viana,Sem classificação,42.8875,39.454375000000006,2112803,True,viana,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.618062500000004
Lago da Pedra,1500.0,2,52.5,57.5,53.5,67.5,60.0,lago da pedra,0,medio,250.0,0,55,60,50,48.25,D,7500.0,40,42.8125,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,Lago da Pedra,Sem classificação,42.8125,39.390625,2105708,True,lago da pedra,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.573437499999997
Fortaleza dos Nogueiras,300.0,1,35.0,80.0,55.25,55.25,56.6,fortaleza dos nogueiras,0,medio,250.0,0,55,60,50,47.23,D,1500.0,40,42.5575,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Fortaleza dos Nogueiras,Sem classificação,42.5575,39.173875,2104107,True,fortaleza dos nogueiras,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.4217125
Buriticupu,500.0,1,35.0,80.0,55.25,55.25,56.6,buriticupu,0,medio,250.0,0,55,60,50,47.23,D,2500.0,40,42.5575,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Buriticupu,Sem classificação,42.5575,39.173875,2102325,True,buriticupu,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.4217125
Pindaré-Mirim,500.0,1,35.0,80.0,55.25,55.25,56.6,pindare mirim,0,medio,250.0,0,55,60,50,47.23,D,2500.0,40,42.5575,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Pindaré-Mirim,Sem classificação,42.5575,39.173875,2108504,True,pindare mirim,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.4217125
